[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
MG,2949,100,19.84 - 20.66,3.97,2,-3.0,23.0,20.75,7.53,20.2,26.98,2.75,(Stock Name: Mistras Group Inc; Sector: Industrials; Intrinsic: 7.53; Revenue: 74 cr; Net Profit: 3 cr; Recommended: none; Projected High: 24.0; Projected Medium: 23.0; Projected Low: 22.0; All time high: 26.98 => 23.0%; SMA 200: 16.12 => 22.29%; RSI: 66.03; Day Volatility: 2.75; Week Volatility: 9.6; Month Volatility: 16.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.06 => 65.98%; Week Support: 7.06 => 65.98%; Month Support: 7.06 => 65.98%; Day NWE: 17.56 => 15.4%; Week NWE: 15.21 => 26.68%; Month NWE: 9.59 => 53.78%)
MARA,1334,100,11.64 - 12.12,3.96,-2,61.0,91.0,13.24,4.35,34.09,155.68,6.45,(Stock Name: MARA Holdings, Inc.; Sector: Financial Services; Intrinsic: 4.35; Revenue: 80 cr; Net Profit: -346 cr; Recommended: buy; Projected High: 30.0; Projected Medium: 16.0; Projected Low: 11.0; All time high: 155.68 => 91.0%; SMA 200: 10.95 => 17.31%; RSI: 62.82; Day Volatility: 6.45; Week Volatility: 16.14; Month Volatility: 28.85; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.66 => 49.7%; Week Support: 6.66 => 49.7%; Month Support: 3.11 => 76.51%; Day NWE: 9.51 => 28.18%; Week NWE: 5.92 => 55.3%; Month NWE: -4.4 => 133.23%)
BTLN,5246,100,0.92 - 0.96,3.96,-3,87.0,96.0,0.91,0.13,7.0,21.0,7.57,(Stock Name: Brightline Interactive, Inc.; Sector: Technology; Intrinsic: 0.13; Revenue: 1 cr; Net Profit: -2 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 21.0 => 96.0%; SMA 200: 0.8 => 11.64%; RSI: 48.52; Day Volatility: 7.57; Week Volatility: 21.5; Month Volatility: 31.28; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.42 => 53.85%; Week Support: 0.42 => 53.85%; Month Support: 0.5 => 44.73%; Day NWE: 0.81 => 10.78%; Week NWE: 0.23 => 74.42%; Month NWE: 0.0 => 100.0%)
LLYVA,1936,100,93.38 - 97.22,3.95,-1,11.0,11.0,93.98,-6.8,106.06,106.06,2.73,(Stock Name: Liberty Live Holdings, Inc. - S; Sector: Communication Services; Intrinsic: -6.8; Revenue: 41 cr; Net Profit: -44 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 106.06 => 11.0%; SMA 200: 91.96 => 2.15%; RSI: 37.19; Day Volatility: 2.73; Week Volatility: 6.63; Month Volatility: 12.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 74.38 => 20.86%; Week Support: 74.38 => 20.86%; Month Support: 0.0 => 100.0%; Day NWE: 90.51 => 3.7%; Week NWE: 85.58 => 8.94%; Month NWE: 0.0 => 100.0%)
ABEO,3634,100,5.59 - 5.82,3.95,-1,38.0,100.0,5.57,2.24,9.01,4225.0,5.28,(Stock Name: Abeona Therapeutics Inc.; Sector: Healthcare; Intrinsic: 2.24; Revenue: 3 cr; Net Profit: -6 cr; Recommended: strong_buy; Projected High: 30.0; Projected Medium: 17.0; Projected Low: 14.0; All time high: 4225.0 => 100.0%; SMA 200: 5.54 => 0.61%; RSI: 40.15; Day Volatility: 5.28; Week Volatility: 12.7; Month Volatility: 22.29; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.0 => 28.19%; Week Support: 4.0 => 28.19%; Month Support: 3.93 => 29.44%; Day NWE: 4.79 => 13.95%; Week NWE: 4.81 => 13.56%; Month NWE: -54.21 => 1073.24%)
GHM,2630,100,83.62 - 87.01,3.9,3,33.0,33.0,84.04,16.39,125.82,125.82,4.33,(Stock Name: Graham Corporation; Sector: Industrials; Intrinsic: 16.39; Revenue: 26 cr; Net Profit: 1 cr; Recommended: none; Projected High: 135.0; Projected Medium: 130.0; Projected Low: 128.0; All time high: 125.82 => 33.0%; SMA 200: 89.31 => -6.27%; RSI: 37.89; Day Volatility: 4.33; Week Volatility: 11.64; Month Volatility: 27.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 24.78 => 70.51%; Week Support: 24.78 => 70.51%; Month Support: 24.78 => 70.51%; Day NWE: 70.98 => 15.54%; Week NWE: 77.28 => 8.04%; Month NWE: 66.37 => 21.03%)
CUE,3824,100,37.84 - 39.35,3.84,-1,62.0,96.0,37.05,0.44,97.47,950.7,9.98,(Stock Name: Cue Biopharma, Inc.; Sector: Healthcare; Intrinsic: 0.44; Revenue: 4 cr; Net Profit: -16 cr; Recommended: strong_buy; Projected High: 115.0; Projected Medium: 83.0; Projected Low: 66.0; All time high: 950.7 => 96.0%; SMA 200: 19.46 => 47.48%; RSI: 65.83; Day Volatility: 9.98; Week Volatility: 20.79; Month Volatility: 44.24; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.98 => 86.56%; Week Support: 4.98 => 86.56%; Month Support: 13.5 => 63.56%; Day NWE: 21.49 => 41.99%; Week NWE: 15.68 => 57.67%; Month NWE: 0.83 => 97.77%)
BMNR,686,100,23.89 - 24.83,3.79,4,84.0,84.0,25.99,20.01,161.0,161.0,6.37,(Stock Name: BitMine Immersion Technologies,; Sector: Financial Services; Intrinsic: 20.01; Revenue: 6 cr; Net Profit: -877 cr; Recommended: strong_buy; Projected High: 63.6; Projected Medium: 40.0; Projected Low: 30.0; All time high: 161.0 => 84.0%; SMA 200: 22.08 => 15.04%; RSI: 60.68; Day Volatility: 6.37; Week Volatility: 13.55; Month Volatility: 24.29; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 20.82 => 19.91%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
PLTK,2750,100,2.31 - 2.4,3.75,-2,79.0,94.0,2.21,-1.05,10.28,35.09,4.69,(Stock Name: Playtika Holding Corp.; Sector: Communication Services; Intrinsic: -1.05; Revenue: 283 cr; Net Profit: -28 cr; Recommended: none; Projected High: 14.0; Projected Medium: 4.0; Projected Low: 2.75; All time high: 35.09 => 94.0%; SMA 200: 3.37 => -52.28%; RSI: 34.99; Day Volatility: 4.69; Week Volatility: 20.17; Month Volatility: 40.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 6.61 => -199.1%; Month Support: 6.25 => -182.81%; Day NWE: 1.64 => 25.76%; Week NWE: 1.55 => 30.08%; Month NWE: 0.0 => 100.0%)
AIFC,4729,100,0.52 - 0.54,3.7,-3,95.0,98.0,0.51,4.74,10.95,33.45,6.44,(Stock Name: AI Financial Corporation; Sector: Technology; Intrinsic: 4.74; Revenue: 2 cr; Net Profit: -83 cr; Recommended: none; Projected High: 6.5; Projected Medium: 6.5; Projected Low: 6.5; All time high: 33.45 => 98.0%; SMA 200: 1.04 => -104.01%; RSI: 47.3; Day Volatility: 6.44; Week Volatility: 20.96; Month Volatility: 70.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 1.29 => -152.94%; Month Support: 0.22 => 56.86%; Day NWE: 0.36 => 29.95%; Week NWE: -2.11 => 512.9%; Month NWE: -1.83 => 457.99%)
