
[Long Strangle - Buy OTM Call and OTM Put - Long Expiry]
Symbol,Beta,Last Change %,Volatility%,days,Strength,Rank,Intrinsic,PE,LTP,Call Strike,Call Premium,Put Strike,Put Premium,Total Premium,Total Premium %,Details
SPGI,1.077,-2.7,2.62,281,F,138,106.855,26.16,429.31,430,54.7,420,36.9,9160,21.5,(Stock Name: S&P Global Inc.; Sector: Financial Services; Strength: F - Tech / Quality Growth ; Intrinsic: 106.86; Revenue: 1612.0cr; Net Profit: 492.0cr; Recommended: strong_buy; Projected High: 553.0; Projected Medium: 525.0; Projected Low: 485.0; All time high: 579.05 => 26.0%; SMA 200: 448.65 => -4.51%; RSI: 57.62; Day Volatility: 2.62; Week Volatility: 5.94; Month Volatility: 9.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 427.14 => 0.51%; Week Support: 427.14 => 0.51%; Month Support: 279.32 => 34.94%; Day NWE: 405.77 => 5.48%; Week NWE: 369.19 => 14.0%; Month NWE: 364.15 => 15.18%)
TROW,1.48,-1.0999999999999999,1.89,373,F,594,51.579,10.99,109.42,110,11.5,105,11.6,2310,21.64,(Stock Name: T. Rowe Price Group. Inc.; Sector: Financial Services; Strength: F - Financials / REITs / Infrastructure ; Intrinsic: 51.58; Revenue: 759.0cr; Net Profit: 217.0cr; Recommended: hold; Projected High: 124.0; Projected Medium: 112.5; Projected Low: 90.0; All time high: 224.56 => 51.0%; SMA 200: 103.63 => 5.29%; RSI: 41.61; Day Volatility: 1.89; Week Volatility: 5.01; Month Volatility: 9.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 85.22 => 22.12%; Week Support: 85.22 => 22.12%; Month Support: 77.85 => 28.85%; Day NWE: 104.11 => 4.85%; Week NWE: 96.92 => 11.43%; Month NWE: 69.36 => 36.61%)
BMY,0.227,-1.25,1.78,281,F,129,10.925,14.25,64.69,65,7.6,62.5,6.15,1375,21.73,(Stock Name: Bristol-Myers Squibb Company; Sector: Healthcare; Strength: F - Mega / Blue-chip / Strong Financials; Intrinsic: 10.93; Revenue: 4919.0cr; Net Profit: 928.0cr; Recommended: buy; Projected High: 80.0; Projected Medium: 68.0; Projected Low: 40.0; All time high: 81.44 => 21.0%; SMA 200: 58.14 => 10.13%; RSI: 56.48; Day Volatility: 1.78; Week Volatility: 4.93; Month Volatility: 8.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 42.52 => 34.27%; Week Support: 42.52 => 34.27%; Month Support: 42.52 => 34.27%; Day NWE: 63.33 => 2.1%; Week NWE: 54.27 => 16.1%; Month NWE: 44.57 => 31.11%)
NVS,0.49,-1.96,1.33,464,F,49,21.856,20.8,137.7,140,16.2,135,12,2820,22.15,(Stock Name: Novartis AG; Sector: Healthcare; Strength: F - Fundamentals-driven (stable. earnings-based); Intrinsic: 21.86; Revenue: 5669.0cr; Net Profit: 1276.0cr; Recommended: hold; Projected High: 185.0; Projected Medium: 160.15; Projected Low: 123.0; All time high: 170.46 => 19.0%; SMA 200: 149.72 => -8.73%; RSI: 55.17; Day Volatility: 1.33; Week Volatility: 5.14; Month Volatility: 7.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 96.06 => 30.24%; Month Support: 74.09 => 46.19%; Day NWE: 150.54 => -9.33%; Week NWE: 140.45 => -1.99%; Month NWE: 130.36 => 5.33%)
AZN,0.205,-1.18,1.63,281,F,64,32.427,23.92,160.04,165,16,160,15,3100,22.470000000000002,(Stock Name: AstraZeneca PLC; Sector: Healthcare; Strength: F - Mega / Large Cap / Stable; Intrinsic: 32.43; Revenue: 6137.0cr; Net Profit: 1045.0cr; Recommended: strong_buy; Projected High: 240.0; Projected Medium: 215.0; Projected Low: 184.0; All time high: 212.71 => 25.0%; SMA 200: 183.89 => -14.9%; RSI: 46.41; Day Volatility: 1.63; Week Volatility: 5.15; Month Volatility: 11.63; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 122.48 => 23.47%; Week Support: 122.48 => 23.47%; Month Support: 122.48 => 23.47%; Day NWE: 149.85 => 6.37%; Week NWE: 146.64 => 8.37%; Month NWE: 152.95 => 4.43%)
JNJ,0.235,-1.1900000000000002,1.69,464,F,22,35.284,31.26,269.12,270,36.5,260,23.25,5975,22.53,(Stock Name: Johnson & Johnson; Sector: Healthcare; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 35.28; Revenue: 9793.0cr; Net Profit: 2104.0cr; Recommended: buy; Projected High: 320.0; Projected Medium: 281.0; Projected Low: 190.0; All time high: 281.07 => 4.0%; SMA 200: 235.82 => 12.37%; RSI: 60.57; Day Volatility: 1.69; Week Volatility: 5.44; Month Volatility: 8.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 140.68 => 47.73%; Month Support: 140.68 => 47.73%; Day NWE: 255.16 => 5.19%; Week NWE: 231.52 => 13.97%; Month NWE: 203.84 => 24.26%)
ALL,0.15,-1.08,1.69,373,F,288,124.791,5.08,253.46,260,30.5,240,20.1,5060,22.54,(Stock Name: Allstate Corporation (The); Sector: Financial Services; Strength: F - Mega / Large Cap / Stable; Intrinsic: 124.79; Revenue: 7014.0cr; Net Profit: 1319.0cr; Recommended: hold; Projected High: 334.0; Projected Medium: 281.0; Projected Low: 191.0; All time high: 277.22 => 9.0%; SMA 200: 221.75 => 12.51%; RSI: 51.08; Day Volatility: 1.69; Week Volatility: 5.38; Month Volatility: 9.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 188.08 => 25.79%; Week Support: 188.08 => 25.79%; Month Support: 100.57 => 60.32%; Day NWE: 243.69 => 3.85%; Week NWE: 230.78 => 8.95%; Month NWE: 194.32 => 23.33%)
BLK,1.429,-1.26,2,373,F,107,371.704,26.24,1095.37,1140,120,1030,83.3,20330,22.63,(Stock Name: BlackRock. Inc.; Sector: Financial Services; Strength: F - Mega / Blue-chip / Strong Financials; Intrinsic: 371.7; Revenue: 2730.0cr; Net Profit: 658.0cr; Recommended: none; Projected High: 1488.0; Projected Medium: 1310.0; Projected Low: 1190.0; All time high: 1219.94 => 10.0%; SMA 200: 1059.26 => 3.3%; RSI: 47.24; Day Volatility: 2.0; Week Volatility: 4.35; Month Volatility: 10.37; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 917.39 => 16.25%; Week Support: 917.39 => 16.25%; Month Support: 596.18 => 45.57%; Day NWE: 1070.52 => 2.27%; Week NWE: 955.26 => 12.79%; Month NWE: 884.62 => 19.24%)
AMGN,0.426,-1.6,1.86,281,F,72,21.62,24.44,393.17,400,42.35,390,40,8235,22.68,(Stock Name: Amgen Inc.; Sector: Healthcare; Strength: F - Mega / Large Cap / Stable; Intrinsic: 21.62; Revenue: 3809.0cr; Net Profit: 874.0cr; Recommended: buy; Projected High: 457.0; Projected Medium: 395.0; Projected Low: 230.0; All time high: 447.03 => 12.0%; SMA 200: 358.45 => 8.83%; RSI: 61.89; Day Volatility: 1.86; Week Volatility: 5.57; Month Volatility: 8.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 253.3 => 35.57%; Month Support: 253.3 => 35.57%; Day NWE: 410.83 => -4.49%; Week NWE: 346.25 => 11.93%; Month NWE: 311.17 => 20.86%)
MCK,0.307,-1.11,1.76,281,F,174,-36.552,23.82,889.12,920,92.3,880,79.3,17160,22.770000000000003,(Stock Name: McKesson Corporation; Sector: Healthcare; Strength: F - Mega / Large Cap / Quality names ; Intrinsic: -36.55; Revenue: 41098.0cr; Net Profit: 459.0cr; Recommended: buy; Projected High: 1065.0; Projected Medium: 1000.0; Projected Low: 845.0; All time high: 999.0 => 11.0%; SMA 200: 843.22 => 5.16%; RSI: 58.57; Day Volatility: 1.76; Week Volatility: 6.54; Month Volatility: 11.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 637.0 => 28.36%; Week Support: 637.0 => 28.36%; Month Support: 112.6 => 87.34%; Day NWE: 832.12 => 6.41%; Week NWE: 728.86 => 18.02%; Month NWE: 706.71 => 20.52%)
