[Investment Summary]
Particulars,Value
Total Deposit,💵 10468                        
Total Withdrawal,💵 -6915                        
<b>Total Invested</b>,💵 <b>3553                        </b>
Closed Equity,📑 -2202                        
Closed Options,📑 3248                        
Brokerage,🏦 -151                        
<b>Realised P/L</b>,💵 <b>895                        </b>
Other Charges,🏦 -22                        
<b> Matured Investment</b>,💵 <b>4426                        </b>
Active Equity,📑 -354                        
Active Options,📑 -52                        
<b>Unrealised P/L</b>,💵 <b>-406                        </b>
[Closed Equity Trades]
Symbol,Entry,Exit,Qty,Buy Price,Sell Price,Holding Period,Margin,P&L,Commission
GRAB  270617C00003500,,2026-08-13,0.0,0.85,0.26,77,-0.59,0.0,-0.7673
HMC   260515C00025000,2026-05-15,2026-04-14,1.0,0.71,1.4,-30,0.69,69.0,-0.052374
IBIT  260327C00042000,2026-03-16,2026-03-16,1.0,1.55,1.65,0,0.09999999999999987,9.999999999999986,-2.10169
IBIT  260821C00038000,2026-08-20,2026-08-20,1.0,2.57,2.45,0,-0.11999999999999966,-11.999999999999966,-2.0969369999999996
IOT   260306C00029000,2026-03-02,2026-03-06,1.0,0.0,2.09,5,2.09,209.0,-1.05374
MARA  260320C00009500,2026-03-16,2026-03-20,1.0,0.0,0.42,5,0.42,42.0,-0.63124
MARA  260327C00009000,2026-03-23,2026-03-27,1.0,0.03,0.26,5,0.23,23.0,-1.8216900000000003
MARA  260327C00009500,2026-03-23,2026-03-23,1.0,0.26,0.27,0,0.010000000000000009,1.0000000000000009,-1.61919
MARA  260402C00008500,2026-03-27,2026-03-30,1.0,0.15,0.25,4,0.1,10.0,-2.08919
MARA  270319C00009000,2026-08-19,2026-08-13,1.0,2.85,2.93,-6,0.08000000000000007,8.000000000000007,-1.1199257999999999
MARA  270319P00009000,2026-08-13,2026-08-18,2.0,2.1,2.08,1,-0.020000000000000018,-4.0000000000000036,-2.0142672
NUAI  260320C00004500,2026-03-09,2026-03-20,1.0,0.0,0.4,12,0.4,40.0,-0.05124
OBDC  260515C00012500,2026-05-15,2026-04-15,1.0,0.1,0.0,-30,-0.1,-10.0,-0.04795
OWL   260313C00010000,2026-03-04,2026-03-13,1.0,0.0,0.73,10,0.73,73.0,-0.00124
