[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
TRTX,3116,100,1.0,1,7.18,buy,13.57,47.0,21.3,66.0,1.98,(Stock Name: TPG RE Finance Trust, Inc.; Sector: Real Estate; Intrinsic: 13.57; Revenue: 13 cr; Net Profit: 4 cr; Recommended: buy; Projected High: 11.0; Projected Medium: 10.0; Projected Low: 8.25; All time high: 21.3 => 66.0%; SMA 200: 8.41 => -17.16%; RSI: 21.8; Day Volatility: 1.98; Week Volatility: 4.14; Month Volatility: 10.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.57 => -5.36%; Week Support: 7.57 => -5.36%; Month Support: 6.47 => 9.89%; Day NWE: 7.1 => 1.12%; Week NWE: 7.11 => 0.95%; Month NWE: 7.27 => -1.27%)
LGIH,2520,100,1.0,2,48.58,none,91.73,47.0,188.0,74.0,4.56,(Stock Name: LGI Homes, Inc.; Sector: Consumer Cyclical; Intrinsic: 91.73; Revenue: 168 cr; Net Profit: 7 cr; Recommended: none; Projected High: 93.0; Projected Medium: 93.0; Projected Low: 93.0; All time high: 188.0 => 74.0%; SMA 200: 50.53 => -4.01%; RSI: 34.52; Day Volatility: 4.56; Week Volatility: 9.86; Month Volatility: 25.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 33.55 => 30.94%; Week Support: 33.55 => 30.94%; Month Support: 71.73 => -47.65%; Day NWE: 44.54 => 8.32%; Week NWE: 36.35 => 25.18%; Month NWE: 12.03 => 75.23%)
PPLI,1907,100,1.0,2,36.19,buy,68.26,47.0,146.94,75.0,3.02,(Stock Name: People Incorporated; Sector: Communication Services; Intrinsic: 68.26; Revenue: 238 cr; Net Profit: 45 cr; Recommended: buy; Projected High: 70.0; Projected Medium: 54.0; Projected Low: 48.0; All time high: 146.94 => 75.0%; SMA 200: 40.45 => -11.76%; RSI: 32.6; Day Volatility: 3.02; Week Volatility: 7.32; Month Volatility: 17.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 29.56 => 18.32%; Week Support: 29.56 => 18.32%; Month Support: 29.56 => 18.32%; Day NWE: 34.07 => 5.87%; Week NWE: 34.06 => 5.89%; Month NWE: 12.04 => 66.73%)
SUNS,4514,100,1.0,2,7.31,none,13.45,46.0,15.74,54.0,2.84,(Stock Name: Sunrise Realty Trust, Inc.; Sector: Real Estate; Intrinsic: 13.45; Revenue: 2 cr; Net Profit: 1 cr; Recommended: none; Projected High: 13.5; Projected Medium: 11.0; Projected Low: 8.0; All time high: 15.74 => 54.0%; SMA 200: 8.49 => -16.1%; RSI: 37.29; Day Volatility: 2.84; Week Volatility: 5.26; Month Volatility: 15.35; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.8 => -6.7%; Week Support: 7.8 => -6.7%; Month Support: 0.0 => 100.0%; Day NWE: 6.93 => 5.23%; Week NWE: 6.91 => 5.52%; Month NWE: 0.0 => 100.0%)
VENU,4623,100,1.0,-2,1.49,none,2.78,46.0,18.17,92.0,7.42,(Stock Name: Venu Holding Corporation; Sector: Consumer Cyclical; Intrinsic: 2.78; Revenue: 2 cr; Net Profit: -5 cr; Recommended: none; Projected High: 9.8; Projected Medium: 7.4; Projected Low: 5.0; All time high: 18.17 => 92.0%; SMA 200: 4.41 => -196.03%; RSI: 28.55; Day Volatility: 7.42; Week Volatility: 20.68; Month Volatility: 66.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.05 => -373.15%; Week Support: 7.05 => -373.15%; Month Support: 0.0 => 100.0%; Day NWE: 1.26 => 15.25%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
GRSD,4854,100,1.0,-3,1.6,none,2.94,46.0,17.14,91.0,4.33,(Stock Name: Grandstand Limited; Sector: Consumer Cyclical; Intrinsic: 2.94; Revenue: 16 cr; Net Profit: -4 cr; Recommended: none; Projected High: 6.0; Projected Medium: 4.5; Projected Low: 3.0; All time high: 17.14 => 91.0%; SMA 200: 3.43 => -114.52%; RSI: 30.79; Day Volatility: 4.33; Week Volatility: 16.83; Month Volatility: 60.39; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 7.51 => -369.69%; Month Support: 7.51 => -369.69%; Day NWE: 1.17 => 26.62%; Week NWE: -1.12 => 169.92%; Month NWE: 0.0 => 100.0%)
ASIX,3296,100,1.0,-2,16.21,none,29.51,45.0,57.1,72.0,2.89,(Stock Name: AdvanSix Inc.; Sector: Basic Materials; Intrinsic: 29.51; Revenue: 156 cr; Net Profit: -2 cr; Recommended: none; Projected High: 22.0; Projected Medium: 20.0; Projected Low: 18.0; All time high: 57.1 => 72.0%; SMA 200: 19.65 => -21.2%; RSI: 39.13; Day Volatility: 2.89; Week Volatility: 11.65; Month Volatility: 30.16; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.1 => 13.02%; Week Support: 14.1 => 13.02%; Month Support: 14.1 => 13.02%; Day NWE: 14.39 => 11.2%; Week NWE: 13.41 => 17.29%; Month NWE: 10.84 => 33.15%)
FLNA,5059,100,1.0,-3,0.73,none,1.32,45.0,146.16,100.0,5.48,
SITC,4257,100,1.0,3,2.95,none,5.38,45.0,40.09,93.0,2.23,(Stock Name: SITE Centers Corp.; Sector: Real Estate; Intrinsic: 5.38; Revenue: 7 cr; Net Profit: 13 cr; Recommended: none; Projected High: 3.5; Projected Medium: 3.5; Projected Low: 3.5; All time high: 40.09 => 93.0%; SMA 200: 5.18 => -75.63%; RSI: 41.66; Day Volatility: 2.23; Week Volatility: 5.42; Month Volatility: 22.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 10.45 => -254.41%; Month Support: 12.95 => -338.92%; Day NWE: 2.34 => 20.54%; Week NWE: 0.97 => 67.17%; Month NWE: 0.46 => 84.3%)
CCAP,3487,100,1.0,-3,9.78,hold,17.82,45.0,21.48,54.0,2.18,(Stock Name: Crescent Capital BDC, Inc.; Sector: Financial Services; Intrinsic: 17.82; Revenue: 16 cr; Net Profit: 0 cr; Recommended: hold; Projected High: 14.0; Projected Medium: 12.0; Projected Low: 10.25; All time high: 21.48 => 54.0%; SMA 200: 12.53 => -28.07%; RSI: 31.12; Day Volatility: 2.18; Week Volatility: 5.77; Month Volatility: 15.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.54 => -38.45%; Week Support: 13.54 => -38.45%; Month Support: 12.55 => -28.32%; Day NWE: 9.2 => 5.9%; Week NWE: 8.64 => 11.61%; Month NWE: 0.0 => 100.0%)
