GEV,1386,1450,GEV,987.46,100,58.0,44.895,58.0,2026-06-16,0.05,0.5,4,136 cr,952 cr,buy,252.25,252.25,nan,889.31,779.25,nan,3.93,12.93,23.27,None,None,None,2025-10-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SAP,1451,1469,SAP,215.6,100,64.0,3.1771898,64.0,2026-05-05,1.36,2.929,3,819 cr,779 cr,none,nan,126.75,78.22,180.6,133.45,156.78,2.49,6.86,15.81,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
INTC,1470,1472,INTC,92.8,100,27.0,17.359,27.0,2024-08-07,0.13,0.125,5,703 cr,-1,128 cr,hold,17.67,17.67,17.67,71.04,85.64,47.97,5.12,18.36,35.09,None,None,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PEP,1473,1487,PEP,142.58,100,91.0,16.177,91.0,2026-06-05,1.04,1.48,9,690 cr,1,045 cr,none,136.01,136.01,127.6,133.36,125.52,127.17,1.33,4.9,9.86,None,2026-07-24,None,2025-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VZ,1488,1498,VZ,49.36,100,85.0,25.012,85.0,2026-07-10,1.43,0.708,13,889 cr,1,617 cr,buy,38.39,38.39,37.59,44.54,41.85,38.28,1.47,5.47,10.82,None,None,None,2026-07-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AXP,1499,1515,AXP,339.9,100,75.0,50.785,75.0,2026-07-02,0.28,0.95,7,091 cr,1,131 cr,buy,290.97,290.97,220.43,321.12,289.55,278.41,1.71,5.16,11.24,None,None,None,2026-07-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T,1516,1522,T,25.12,100,106.0,16.056,106.0,2026-07-10,1.11,0.278,12,723 cr,2,148 cr,buy,nan,15.94,13.43,22.24,19.65,20.47,1.75,6.49,14.35,None,None,None,2026-07-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KLAC,1523,1653,KLAC,187.27,40,67.0,4.86,67.0,2026-08-17,0.12,0.23,1,358 cr,483 cr,buy,55.13,55.13,55.13,159.64,178.15,133.14,4.19,15.36,32.23,None,None,None,2026-07-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMGN,1654,1676,AMGN,442.36,40,71.0,21.62,71.0,2026-05-15,0.57,2.52,3,809 cr,874 cr,buy,nan,253.3,253.3,389.55,334.86,303.22,1.89,5.64,9.66,None,None,None,2025-06-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABT,1677,1687,ABT,114.43,100,88.0,29.537,88.0,2026-07-15,0.55,0.63,4,658 cr,540 cr,buy,119.77,119.77,89.67,100.46,85.89,87.98,1.99,6.02,11.44,None,2026-08-19,None,2026-04-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
