[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
EQT,448,100,1.0,3,50.0,0.74,10.42,13.45,2.93,(Stock Name: EQT Corporation; Sector: Energy; Intrinsic: 40.38; Revenue: 929 cr; Net Profit: 271 cr; Recommended: strong_buy; Projected High: 81.0; Projected Medium: 67.0; Projected Low: 52.0; All time high: 68.24 => 27.0%; SMA 200: 55.9 => -11.8%; RSI: 28.42; Day Volatility: 2.93; Week Volatility: 6.04; Month Volatility: 13.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 30.02 => 39.96%; Month Support: 30.02 => 39.96%; Day NWE: 49.63 => 0.74%; Week NWE: 44.79 => 10.42%; Month NWE: 43.27 => 13.45%)
CMCSA,207,100,1.0,3,22.74,0.77,12.58,21.96,3.02,(Stock Name: Comcast Corporation; Sector: Communication Services; Intrinsic: 25.31; Revenue: 12490 cr; Net Profit: 1120 cr; Recommended: hold; Projected High: 44.0; Projected Medium: 29.0; Projected Low: 21.0; All time high: 57.92 => 61.0%; SMA 200: 26.88 => -18.22%; RSI: 29.66; Day Volatility: 3.02; Week Volatility: 6.89; Month Volatility: 18.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 24.13 => -6.13%; Week Support: 24.13 => -6.13%; Month Support: 26.61 => -17.01%; Day NWE: 22.56 => 0.77%; Week NWE: 19.88 => 12.58%; Month NWE: 17.75 => 21.96%)
STHO,4465,100,1.0,1,9.08,0.88,12.26,,2.67,(Stock Name: Star Holdings - Shares of Benef; Sector: Real Estate; Intrinsic: 23.32; Revenue: 10 cr; Net Profit: 1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 20.79 => 56.0%; SMA 200: 8.64 => 4.89%; RSI: 35.66; Day Volatility: 2.67; Week Volatility: 6.1; Month Volatility: 10.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.01 => 22.8%; Week Support: 7.01 => 22.8%; Month Support: 6.05 => 33.31%; Day NWE: 9.0 => 0.88%; Week NWE: 7.97 => 12.26%; Month NWE: 0.0 => 100.0%)
STWD,1278,100,1.0,4,14.94,0.9,1.51,14.28,1.92,(Stock Name: STARWOOD PROPERTY TRUST, INC. S; Sector: Real Estate; Intrinsic: 17.54; Revenue: 60 cr; Net Profit: 22 cr; Recommended: none; Projected High: 24.0; Projected Medium: 20.0; Projected Low: 17.0; All time high: 27.01 => 45.0%; SMA 200: 17.34 => -16.04%; RSI: 29.09; Day Volatility: 1.92; Week Volatility: 4.45; Month Volatility: 8.89; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.59 => -11.04%; Week Support: 16.59 => -11.04%; Month Support: 16.59 => -11.04%; Day NWE: 14.81 => 0.9%; Week NWE: 14.71 => 1.51%; Month NWE: 12.81 => 14.28%)
FSK,1719,100,1.0,-2,11.29,0.91,25.58,22.98,2.11,(Stock Name: FS KKR Capital Corp.; Sector: Financial Services; Intrinsic: 18.3; Revenue: 132 cr; Net Profit: -38 cr; Recommended: hold; Projected High: 15.0; Projected Medium: 12.0; Projected Low: 10.0; All time high: 43.52 => 74.0%; SMA 200: 11.96 => -5.92%; RSI: 37.92; Day Volatility: 2.11; Week Volatility: 6.94; Month Volatility: 12.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.72 => 13.91%; Week Support: 9.72 => 13.91%; Month Support: 16.7 => -47.92%; Day NWE: 11.19 => 0.91%; Week NWE: 8.4 => 25.58%; Month NWE: 8.7 => 22.98%)
ORC,2476,100,1.0,1,6.04,0.91,2.19,64.54,2.51,(Stock Name: Orchid Island Capital, Inc.; Sector: Real Estate; Intrinsic: 7.22; Revenue: 27 cr; Net Profit: 24 cr; Recommended: none; Projected High: 7.5; Projected Medium: 7.5; Projected Low: 7.5; All time high: 77.0 => 92.0%; SMA 200: 7.05 => -16.69%; RSI: 23.92; Day Volatility: 2.51; Week Volatility: 4.33; Month Volatility: 10.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.69 => 5.79%; Week Support: 5.69 => 5.79%; Month Support: 5.69 => 5.79%; Day NWE: 5.99 => 0.91%; Week NWE: 5.91 => 2.19%; Month NWE: 2.14 => 64.54%)
NHP,2891,100,1.0,-2,16.0,0.95,,,2.67,(Stock Name: National Healthcare Properties,; Sector: Real Estate; Intrinsic: 14.51; Revenue: 34 cr; Net Profit: -6 cr; Recommended: buy; Projected High: 24.0; Projected Medium: 18.0; Projected Low: 16.0; All time high: 17.46 => 8.0%; SMA 200: 0.0 => 100.0%; RSI: 47.26; Day Volatility: 2.67; Week Volatility: 8.1; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 15.85 => 0.95%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
GEL,2171,100,1.0,3,14.65,0.98,11.58,24.37,2.95,(Stock Name: Genesis Energy, L.P.; Sector: Energy; Intrinsic: -2.76; Revenue: 183 cr; Net Profit: 2 cr; Recommended: none; Projected High: 19.0; Projected Medium: 18.0; Projected Low: 18.0; All time high: 57.47 => 75.0%; SMA 200: 16.21 => -10.65%; RSI: 30.48; Day Volatility: 2.95; Week Volatility: 5.05; Month Volatility: 12.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.55 => 0.68%; Week Support: 14.55 => 0.68%; Month Support: 9.86 => 32.7%; Day NWE: 14.51 => 0.98%; Week NWE: 12.95 => 11.58%; Month NWE: 11.08 => 24.37%)
DX,1741,100,1.0,2,12.18,0.99,3.28,14.23,1.86,(Stock Name: Dynex Capital, Inc.; Sector: Real Estate; Intrinsic: 12.92; Revenue: 50 cr; Net Profit: 43 cr; Recommended: none; Projected High: 15.0; Projected Medium: 14.75; Projected Low: 14.5; All time high: 33.18 => 63.0%; SMA 200: 13.33 => -9.45%; RSI: 29.87; Day Volatility: 1.86; Week Volatility: 3.23; Month Volatility: 9.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.14 => 0.33%; Week Support: 12.14 => 0.33%; Month Support: 10.79 => 11.41%; Day NWE: 12.06 => 0.99%; Week NWE: 11.78 => 3.28%; Month NWE: 10.45 => 14.23%)
FBRT,3018,100,1.0,3,7.47,0.99,7.52,,3.18,(Stock Name: Franklin BSP Realty Trust, Inc.; Sector: Real Estate; Intrinsic: 14.77; Revenue: 29 cr; Net Profit: 4 cr; Recommended: buy; Projected High: 13.0; Projected Medium: 12.0; Projected Low: 10.0; All time high: 17.74 => 58.0%; SMA 200: 8.94 => -19.66%; RSI: 32.87; Day Volatility: 3.18; Week Volatility: 6.65; Month Volatility: 14.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 11.99 => -60.51%; Month Support: 10.34 => -38.42%; Day NWE: 7.4 => 0.99%; Week NWE: 6.91 => 7.52%; Month NWE: 0.0 => 100.0%)
BLND,3792,100,1.0,2,1.19,1.0,48.04,,5.7,(Stock Name: Blend Labs, Inc.; Sector: Technology; Intrinsic: -0.31; Revenue: 13 cr; Net Profit: -2 cr; Recommended: none; Projected High: 4.0; Projected Medium: 3.0; Projected Low: 1.8; All time high: 21.04 => 94.0%; SMA 200: 1.93 => -61.96%; RSI: 26.85; Day Volatility: 5.7; Week Volatility: 18.32; Month Volatility: 43.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.79 => -134.45%; Week Support: 2.79 => -134.45%; Month Support: 0.53 => 55.55%; Day NWE: 1.18 => 1.0%; Week NWE: 0.62 => 48.04%; Month NWE: 0.0 => 100.0%)
RRC,990,100,1.0,4,38.44,1.03,11.77,18.93,3.34,(Stock Name: Range Resources Corporation; Sector: Energy; Intrinsic: 20.15; Revenue: 327 cr; Net Profit: 86 cr; Recommended: hold; Projected High: 57.0; Projected Medium: 45.0; Projected Low: 37.0; All time high: 95.41 => 60.0%; SMA 200: 39.35 => -2.37%; RSI: 36.65; Day Volatility: 3.34; Week Volatility: 5.8; Month Volatility: 13.69; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 32.68 => 14.98%; Week Support: 32.68 => 14.98%; Month Support: 27.29 => 29.01%; Day NWE: 38.05 => 1.03%; Week NWE: 33.91 => 11.77%; Month NWE: 31.16 => 18.93%)
CRWS,5142,100,1.0,3,2.52,1.04,7.69,43.53,3.34,(Stock Name: Crown Crafts, Inc.; Sector: Consumer Cyclical; Intrinsic: 3.74; Revenue: 8 cr; Net Profit: 1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 10.24 => 75.0%; SMA 200: 2.82 => -12.08%; RSI: 27.66; Day Volatility: 3.34; Week Volatility: 9.07; Month Volatility: 13.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.35 => 6.75%; Week Support: 2.35 => 6.75%; Month Support: 2.35 => 6.75%; Day NWE: 2.49 => 1.04%; Week NWE: 2.33 => 7.69%; Month NWE: 1.42 => 43.53%)
WPC,703,100,1.0,5,66.26,1.05,1.15,15.03,1.84,(Stock Name: W. P. Carey Inc. REIT; Sector: Real Estate; Intrinsic: 38.07; Revenue: 182 cr; Net Profit: 65 cr; Recommended: buy; Projected High: 88.0; Projected Medium: 80.0; Projected Low: 75.0; All time high: 91.69 => 28.0%; SMA 200: 71.03 => -7.19%; RSI: 22.07; Day Volatility: 1.84; Week Volatility: 3.01; Month Volatility: 8.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 63.08 => 4.8%; Week Support: 63.08 => 4.8%; Month Support: 52.91 => 20.15%; Day NWE: 65.56 => 1.05%; Week NWE: 65.5 => 1.15%; Month NWE: 56.3 => 15.03%)
XEL,345,100,1.0,3,72.3,1.05,1.38,7.17,1.8,(Stock Name: Xcel Energy Inc.; Sector: Utilities; Intrinsic: 38.53; Revenue: 1462 cr; Net Profit: 223 cr; Recommended: strong_buy; Projected High: 101.0; Projected Medium: 92.0; Projected Low: 74.0; All time high: 84.23 => 14.0%; SMA 200: 78.36 => -8.38%; RSI: 32.52; Day Volatility: 1.8; Week Volatility: 3.62; Month Volatility: 8.35; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 65.21 => 9.81%; Week Support: 65.21 => 9.81%; Month Support: 46.79 => 35.28%; Day NWE: 71.54 => 1.05%; Week NWE: 71.3 => 1.38%; Month NWE: 67.12 => 7.17%)
UBS,107,100,1.0,5,50.69,1.07,9.87,23.73,1.61,(Stock Name: UBS Group AG Registered; Sector: Financial Services; Intrinsic: 29.12; Revenue: 5304 cr; Net Profit: 952 cr; Recommended: none; Projected High: 62.6; Projected Medium: 52.5; Projected Low: 50.0; All time high: 55.99 => 9.0%; SMA 200: 46.63 => 8.01%; RSI: 34.65; Day Volatility: 1.61; Week Volatility: 3.58; Month Volatility: 9.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 36.29 => 28.4%; Week Support: 36.29 => 28.4%; Month Support: 25.75 => 49.21%; Day NWE: 50.15 => 1.07%; Week NWE: 45.69 => 9.87%; Month NWE: 38.66 => 23.73%)
BAC,32,100,1.0,5,57.73,1.08,7.1,23.95,2.7,(Stock Name: Bank of America Corporation; Sector: Financial Services; Intrinsic: 39.34; Revenue: 11393 cr; Net Profit: 3212 cr; Recommended: buy; Projected High: 76.0; Projected Medium: 68.0; Projected Low: 62.0; All time high: 65.23 => 11.0%; SMA 200: 55.24 => 4.32%; RSI: 29.16; Day Volatility: 2.7; Week Volatility: 4.59; Month Volatility: 10.34; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 46.12 => 20.11%; Week Support: 46.12 => 20.11%; Month Support: 33.07 => 42.72%; Day NWE: 57.11 => 1.08%; Week NWE: 53.63 => 7.1%; Month NWE: 43.91 => 23.95%)
MNR,2142,100,1.0,3,11.13,1.09,4.25,,2.83,(Stock Name: Mach Natural Resources LP; Sector: Energy; Intrinsic: 11.04; Revenue: 130 cr; Net Profit: 10 cr; Recommended: strong_buy; Projected High: 20.0; Projected Medium: 17.0; Projected Low: 14.0; All time high: 21.19 => 47.0%; SMA 200: 12.78 => -14.82%; RSI: 24.21; Day Volatility: 2.83; Week Volatility: 6.38; Month Volatility: 16.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 10.46 => 6.02%; Week Support: 10.46 => 6.02%; Month Support: 0.0 => 100.0%; Day NWE: 11.01 => 1.09%; Week NWE: 10.66 => 4.25%; Month NWE: 0.0 => 100.0%)
CCO,2467,100,1.0,-1,2.38,1.1,13.3,70.22,0.72,(Stock Name: Clear Channel Outdoor Holdings,; Sector: Communication Services; Intrinsic: -6.8; Revenue: 168 cr; Net Profit: -12 cr; Recommended: none; Projected High: 2.43; Projected Medium: 2.43; Projected Low: 2.43; All time high: 15.47 => 85.0%; SMA 200: 2.32 => 2.47%; RSI: 49.53; Day Volatility: 0.72; Week Volatility: 2.64; Month Volatility: 2.94; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.81 => 65.97%; Week Support: 0.81 => 65.97%; Month Support: 0.81 => 65.97%; Day NWE: 2.35 => 1.1%; Week NWE: 2.06 => 13.3%; Month NWE: 0.71 => 70.22%)
