
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
CSR,2613,,45.54,48,40.51,58.29,43.58,33.75,2.35,9.49,2026-09-08,9.49,2026-09-04,(Stock Name: D/B/A Centerspace; Sector: Real Estate; Revenue: 27.0cr; Net Profit: 2.0cr; Recommended: hold; Projected High: 80.0; Projected Medium: 64.0; Projected Low: 57.0)
TRC,3273,M,73.68,57,,16.21,12.12,33.75,2.23,5.55,,5.55,2024-12-13,(Stock Name: Tejon Ranch Co; Sector: Industrials; Revenue: 6.0cr; Net Profit: 1.0cr; Recommended: none; Projected High: 26.25; Projected Medium: 26.25; Projected Low: 26.25)
LBTYK,2268,M,,56,27.05,10.15,7.52,34.97,2.52,1.08,2026-09-11,1.08,2026-09-11,(Stock Name: Liberty Global Ltd.; Sector: Communication Services; Revenue: 488.0cr; Net Profit: -304.0cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0)
DIS,86,F,21.97,48,63.6,106.55,78.73,35.339999999999996,1.91,13.48,,13.48,2025-04-18,(Stock Name: Walt Disney Company (The); Sector: Communication Services; Revenue: 9886.0cr; Net Profit: 860.0cr; Recommended: strong_buy; Projected High: 160.0; Projected Medium: 130.0; Projected Low: 88.0)
LBTYA,2125,M,,58,27.05,10.47,7.73,35.449999999999996,2.58,3.63,2026-07-28,3.63,2026-07-24,(Stock Name: Liberty Global Ltd.; Sector: Communication Services; Revenue: 488.0cr; Net Profit: -304.0cr; Recommended: buy; Projected High: 25.0; Projected Medium: 12.0; Projected Low: 9.9)
ES,504,F,17.8,31,43.39,68.52,50.56,35.52,1.98,23.7,,23.7,2024-03-08,(Stock Name: Eversource Energy (D/B/A); Sector: Utilities; Revenue: 1400.0cr; Net Profit: 145.0cr; Recommended: none; Projected High: 85.0; Projected Medium: 74.5; Projected Low: 52.0)
COO,909,M,18.53,53,43.81,53.91,39.68,35.86,4.87,-12.74,2026-09-11,-12.74,2026-09-11,(Stock Name: The Cooper Companies. Inc.; Sector: Healthcare; Revenue: 424.0cr; Net Profit: 57.0cr; Recommended: buy; Projected High: 75.0; Projected Medium: 65.5; Projected Low: 58.0)
SBSI,2630,M,12.58,29,29.61,32.07,23.51,36.41,2.08,17.93,,17.93,2024-06-14,(Stock Name: Southside Bancshares. Inc.; Sector: Financial Services; Revenue: 25.0cr; Net Profit: 8.0cr; Recommended: none; Projected High: 37.0; Projected Medium: 35.0; Projected Low: 33.0)
SJM,775,M,56.61,26,53.83,121.14,88.25,37.269999999999996,2.05,27.15,2026-04-15,27.15,2026-04-10,(Stock Name: The J.M. Smucker Company; Sector: Consumer Defensive; Revenue: 916.0cr; Net Profit: 23.0cr; Recommended: buy; Projected High: 157.0; Projected Medium: 145.0; Projected Low: 114.0)
IP,627,F,,46,27.3,34.36,24.98,37.55,3.78,-20.59,2026-09-11,-20.59,2026-09-11,(Stock Name: International Paper Company; Sector: Consumer Cyclical; Revenue: 2420.0cr; Net Profit: -272.0cr; Recommended: buy; Projected High: 61.0; Projected Medium: 48.0; Projected Low: 39.0)
RGCO,3975,M,15.79,33,11.79,21.32,15.36,38.800000000000004,2.1,3.61,,3.61,2024-02-02,(Stock Name: RGC Resources Inc.; Sector: Utilities; Revenue: 11.0cr; Net Profit: 1.0cr; Recommended: none; Projected High: 23.0; Projected Medium: 23.0; Projected Low: 23.0)
NWN,2051,F,16.2,37,37.04,48.44,34.82,39.12,1.91,,,21.49,2024-10-25,(Stock Name: Northwest Natural Holding Compa; Sector: Utilities; Revenue: 129.0cr; Net Profit: 13.0cr; Recommended: none; Projected High: 61.0; Projected Medium: 58.0; Projected Low: 50.0)
OGS,1364,F,16.67,20,56.34,77.34,55.5,39.35,2.17,,,14.17,2024-04-08,(Stock Name: ONE Gas. Inc.; Sector: Utilities; Revenue: 231.0cr; Net Profit: 29.0cr; Recommended: none; Projected High: 103.0; Projected Medium: 88.0; Projected Low: 82.0)
DOX,1169,F,14.59,38,31.48,61.42,44.05,39.43,2.24,-21.87,2026-09-11,-21.87,2026-09-11,(Stock Name: Amdocs Limited; Sector: Technology; Revenue: 465.0cr; Net Profit: 46.0cr; Recommended: none; Projected High: 105.0; Projected Medium: 74.5; Projected Low: 63.0)
IFF,569,F,,47,54.74,83.61,59.14,41.38,1.78,29.27,,29.27,2025-12-05,(Stock Name: International Flavors & Fragran; Sector: Basic Materials; Revenue: 1078.0cr; Net Profit: -79.0cr; Recommended: buy; Projected High: 105.0; Projected Medium: 95.5; Projected Low: 76.0)
GNTX,1378,F,12.06,40,12.05,22.79,16.06,41.91,1.95,10.14,,10.14,2025-07-18,(Stock Name: Gentex Corporation; Sector: Consumer Cyclical; Revenue: 263.0cr; Net Profit: 40.0cr; Recommended: buy; Projected High: 42.0; Projected Medium: 25.5; Projected Low: 23.0)
PEP,84,M,17.87,31,16.18,136.32,95.94,42.089999999999996,1.38,0.23,2026-07-24,0.23,2026-07-24,(Stock Name: Pepsico. Inc.; Sector: Consumer Defensive; Revenue: 9690.0cr; Net Profit: 1045.0cr; Recommended: hold; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0)
UL,118,F,20.95,17,8.76,62.02,43.45,42.74,1.14,1.37,2026-08-17,1.37,2026-08-14,(Stock Name: Unilever PLC; Sector: Consumer Defensive; Revenue: 5062.0cr; Net Profit: 560.0cr; Recommended: none; Projected High: 77.37587; Projected Medium: 74.36601; Projected Low: 70.14733)
MMI,2461,F,84.51,46,15.29,31.27,21.9,42.79,1.97,21.87,,21.87,2026-06-22,(Stock Name: Marcus & Millichap. Inc.; Sector: Real Estate; Revenue: 81.0cr; Net Profit: 1.0cr; Recommended: none; Projected High: 28.0; Projected Medium: 28.0; Projected Low: 28.0)
CHT,412,,27.86,5,3.73,44.85,31.28,43.38,0.95,12.42,,12.42,2023-03-03,(Stock Name: Chunghwa Telecom Co.. Ltd.; Sector: Communication Services; Revenue: 24493.0cr; Net Profit: 3950.0cr; Recommended: none; Projected High: 48.07692; Projected Medium: 48.07692; Projected Low: 48.07692)
BDX,332,F,30.77,21,89.64,177.85,123.71,43.76,2.22,28.26,2025-11-06,28.26,2025-10-31,(Stock Name: Becton. Dickinson and Company; Sector: Healthcare; Revenue: 2248.0cr; Net Profit: 165.0cr; Recommended: buy; Projected High: 225.0; Projected Medium: 197.5; Projected Low: 170.0)
GBDC,1671,F,19.38,36,14.25,12.79,8.89,43.87,1.52,7.97,2026-07-23,7.97,2026-07-06,(Stock Name: Golub Capital BDC. Inc.; Sector: Financial Services; Revenue: 80.0cr; Net Profit: 17.0cr; Recommended: none; Projected High: 14.0; Projected Medium: 13.625; Projected Low: 13.0)
VMRK,320,,25.11,31,,65.54,45.43,44.269999999999996,1.75,12.16,2026-04-02,12.16,2026-03-27,(Stock Name: Vivmark Residential; Sector: Real Estate; Revenue: 309.0cr; Net Profit: 103.0cr; Recommended: buy; Projected High: 80.0; Projected Medium: 73.0; Projected Low: 70.0)
DLB,1562,F,27.44,38,27.59,64.48,44.68,44.32,2.21,-5.51,2026-09-11,-5.51,2026-09-11,(Stock Name: Dolby Laboratories; Sector: Industrials; Revenue: 135.0cr; Net Profit: 23.0cr; Recommended: none; Projected High: 90.0; Projected Medium: 85.0; Projected Low: 62.0)
AMCR,602,F,17.78,38,25.52,42.32,29,45.93,2.4,,,1.11,2026-07-06,(Stock Name: Amcor plc; Sector: Consumer Cyclical; Revenue: 2351.0cr; Net Profit: 111.0cr; Recommended: buy; Projected High: 60.0; Projected Medium: 50.5; Projected Low: 42.0)
WTRG,831,M,21.06,25,24.73,41.07,28.03,46.52,1.92,,,19.21,2025-01-24,(Stock Name: Essential Utilities. Inc.; Sector: Utilities; Revenue: 257.0cr; Net Profit: 55.0cr; Recommended: hold; Projected High: 49.0; Projected Medium: 41.0; Projected Low: 38.0)
TNC,2472,M,66.1,45,31.18,68.74,46.64,47.38,3.43,12.45,2026-04-01,12.45,2026-03-27,(Stock Name: Tennant Company; Sector: Industrials; Revenue: 122.0cr; Net Profit: 2.0cr; Recommended: none; Projected High: 93.0; Projected Medium: 90.5; Projected Low: 77.0)
HR,1163,F,,50,12.3,18.9,12.77,48,1.57,13.7,,13.7,2024-07-26,(Stock Name: Healthcare Realty Trust Incorpo; Sector: Real Estate; Revenue: 115.0cr; Net Profit: -9.0cr; Recommended: hold; Projected High: 24.0; Projected Medium: 21.5; Projected Low: 18.0)
LVS,478,F,16.6,51,0.9,42.83,28.88,48.3,2.43,29.54,,29.54,2025-04-25,(Stock Name: Las Vegas Sands Corp.; Sector: Consumer Cyclical; Revenue: 1372.0cr; Net Profit: 173.0cr; Recommended: buy; Projected High: 71.5; Projected Medium: 60.0; Projected Low: 47.0)
TAK,293,M,,42,15.57,18.26,12.28,48.699999999999996,1.37,28.86,,28.86,2024-07-08,(Stock Name: Takeda Pharmaceutical Company L; Sector: Healthcare; Revenue: 461893.0cr; Net Profit: -16344.0cr; Recommended: none; Projected High: 23.86186; Projected Medium: 22.711796; Projected Low: 21.732622)
HTO,1855,M,22.06,25,44.06,62.66,42.01,49.15,2.29,30.18,,30.18,2025-11-21,(Stock Name: H2O America; Sector: Utilities; Revenue: 83.0cr; Net Profit: 11.0cr; Recommended: none; Projected High: 72.0; Projected Medium: 67.0; Projected Low: 60.0)
POR,1254,M,21.35,24,35.62,48.24,31.96,50.94,1.71,18.01,,18.01,2025-07-25,(Stock Name: Portland General Electric Co; Sector: Utilities; Revenue: 353.0cr; Net Profit: 26.0cr; Recommended: hold; Projected High: 62.0; Projected Medium: 53.0; Projected Low: 48.0)
CL,253,F,34.17,21,0.3,86.8,57.41,51.190000000000005,2,14.11,2026-03-27,14.11,2026-01-23,(Stock Name: Colgate-Palmolive Company; Sector: Consumer Defensive; Revenue: 2105.0cr; Net Profit: 204.0cr; Recommended: buy; Projected High: 110.0; Projected Medium: 100.5; Projected Low: 87.0)
PPG,534,F,15.14,42,37.98,105.5,69.77,51.21,2.53,11.48,,11.48,2025-08-15,(Stock Name: PPG Industries. Inc.; Sector: Basic Materials; Revenue: 1642.0cr; Net Profit: 157.0cr; Recommended: buy; Projected High: 138.0; Projected Medium: 125.0; Projected Low: 115.0)
JBSS,2963,M,13.36,45,32.49,70.26,46.34,51.62,2.92,15.93,,15.93,2025-09-12,(Stock Name: John B. Sanfilippo & Son. Inc.; Sector: Consumer Defensive; Revenue: 118.0cr; Net Profit: 6.0cr; Recommended: none; Projected High: 109.0; Projected Medium: 100.0; Projected Low: 91.0)
