[RSI - Below 30 List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Week RSI,Volatility%,Details
IVR,2898,100,1.0,1,6.45,24.89780721201228,5.27,(Stock Name: INVESCO MORTGAGE CAPITAL INC; Sector: Real Estate; Intrinsic: 8.08; Revenue: 14 cr; Net Profit: 11 cr; Recommended: hold; Projected High: 9.5; Projected Medium: 7.75; Projected Low: 7.25; All time high: 240.7 => 97.0%; SMA 200: 9.0 => -39.53%; RSI: 24.9; Day Volatility: 5.27; Week Volatility: 5.27; Month Volatility: 10.94; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.1 => -10.08%; Week Support: 7.1 => -10.08%; Month Support: 5.86 => 9.15%; Day NWE: 6.43 => 0.32%; Week NWE: 6.43 => 0.32%; Month NWE: -18.32 => 384.11%)
HAWK,2262,100,1.0,-1,16.27,24.91395367251286,18.1,(Stock Name: HawkEye 360, Inc.; Sector: Industrials; Intrinsic: 8.11; Revenue: 17 cr; Net Profit: -1 cr; Recommended: strong_buy; Projected High: 41.0; Projected Medium: 33.0; Projected Low: 23.0; All time high: 35.73 => 54.0%; SMA 200: 0.0 => 100.0%; RSI: 24.91; Day Volatility: 18.1; Week Volatility: 18.1; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 0.0 => 100.0%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
JFIN,5033,100,1.0,1,1.46,25.07792467270985,27.96,(Stock Name: Jiayin Group Inc.; Sector: Financial Services; Intrinsic: 11.98; Revenue: 405 cr; Net Profit: 23 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 30.0 => 95.0%; SMA 200: 6.67 => -356.89%; RSI: 25.08; Day Volatility: 27.96; Week Volatility: 27.96; Month Volatility: 93.51; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.0 => -173.97%; Week Support: 4.0 => -173.97%; Month Support: 4.0 => -173.97%; Day NWE: -1.66 => 213.82%; Week NWE: -1.66 => 213.82%; Month NWE: 0.0 => 100.0%)
SRG,4481,100,1.0,-3,1.88,25.15907714095198,9.77,(Stock Name: Seritage Growth Properties; Sector: Real Estate; Intrinsic: 5.19; Revenue: 1 cr; Net Profit: -6 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 57.31 => 97.0%; SMA 200: 5.77 => -207.05%; RSI: 25.16; Day Volatility: 9.77; Week Volatility: 9.77; Month Volatility: 21.5; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.43 => -29.26%; Week Support: 2.43 => -29.26%; Month Support: 2.43 => -29.26%; Day NWE: 1.48 => 21.42%; Week NWE: 1.48 => 21.42%; Month NWE: -0.24 => 112.72%)
UWMC,3314,100,1.0,-2,1.25,25.272935702004855,27.33,(Stock Name: UWM Holdings Corporation; Sector: Financial Services; Intrinsic: 0.39; Revenue: 293 cr; Net Profit: -4 cr; Recommended: buy; Projected High: 3.0; Projected Medium: 2.0; Projected Low: 1.5; All time high: 14.38 => 91.0%; SMA 200: 5.34 => -327.5%; RSI: 25.27; Day Volatility: 27.33; Week Volatility: 27.33; Month Volatility: 66.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.8 => -203.6%; Week Support: 3.8 => -203.6%; Month Support: 2.84 => -127.2%; Day NWE: -0.08 => 106.2%; Week NWE: -0.08 => 106.2%; Month NWE: 0.0 => 100.0%)
MNY,5190,100,1.0,-1,0.74,25.329860320393855,11.2,(Stock Name: MoneyHero Limited; Sector: Communication Services; Intrinsic: 0.86; Revenue: 7 cr; Net Profit: -1 cr; Recommended: none; Projected High: 3.0; Projected Medium: 3.0; Projected Low: 3.0; All time high: 25.84 => 97.0%; SMA 200: 3.36 => -354.41%; RSI: 25.33; Day Volatility: 11.2; Week Volatility: 11.2; Month Volatility: 35.56; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.55 => 25.54%; Week Support: 0.55 => 25.54%; Month Support: 0.55 => 25.54%; Day NWE: 0.51 => 31.49%; Week NWE: 0.51 => 31.49%; Month NWE: 0.0 => 100.0%)
NLOP,4254,100,1.0,-3,10.48,25.658607122092675,4.91,(Stock Name: Net Lease Office Properties; Sector: Real Estate; Intrinsic: 11.06; Revenue: 7 cr; Net Profit: -5 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 50.0 => 79.0%; SMA 200: 0.0 => 100.0%; RSI: 25.66; Day Volatility: 4.91; Week Volatility: 4.91; Month Volatility: 16.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 26.1 => -149.05%; Week Support: 26.1 => -149.05%; Month Support: 0.0 => 100.0%; Day NWE: 4.95 => 52.76%; Week NWE: 4.95 => 52.76%; Month NWE: 0.0 => 100.0%)
BHF,1790,100,1.0,4,49.95,25.725477755683663,7.16,(Stock Name: Brighthouse Financial, Inc.; Sector: Financial Services; Intrinsic: 113.9; Revenue: 684 cr; Net Profit: 73 cr; Recommended: none; Projected High: 70.0; Projected Medium: 66.0; Projected Low: 55.0; All time high: 75.0 => 33.0%; SMA 200: 52.51 => -5.13%; RSI: 25.73; Day Volatility: 7.16; Week Volatility: 7.16; Month Volatility: 9.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 42.07 => 15.78%; Week Support: 42.07 => 15.78%; Month Support: 42.07 => 15.78%; Day NWE: 47.17 => 5.57%; Week NWE: 47.17 => 5.57%; Month NWE: 45.47 => 8.97%)
FFAI,5585,100,1.0,-1,1.67,25.7303279193146,103.56,(Stock Name: Faraday Future Intelligent Elec; Sector: Consumer Cyclical; Intrinsic: -11.43; Revenue: 0 cr; Net Profit: -33 cr; Recommended: none; Projected High: 66.0; Projected Medium: 48.0; Projected Low: 30.0; All time high: 29880000.0 => 100.0%; SMA 200: 111459.48 => -6674120.34%; RSI: 25.73; Day Volatility: 103.56; Week Volatility: 103.56; Month Volatility: 1729.9; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 124.65 => -7364.07%; Week Support: 124.65 => -7364.07%; Month Support: 0.0 => 100.0%; Day NWE: -183.8 => 11106.19%; Week NWE: -183.8 => 11106.19%; Month NWE: 0.0 => 100.0%)
MPT,2065,100,1.0,-1,3.4,25.754228703914446,9.62,(Stock Name: Medical Properties Trust, Inc.; Sector: Real Estate; Intrinsic: 7.54; Revenue: 110 cr; Net Profit: -3 cr; Recommended: hold; Projected High: 7.0; Projected Medium: 5.0; Projected Low: 4.25; All time high: 24.29 => 86.0%; SMA 200: 5.79 => -70.33%; RSI: 25.75; Day Volatility: 9.62; Week Volatility: 9.62; Month Volatility: 22.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.95 => -16.18%; Week Support: 3.95 => -16.18%; Month Support: 3.51 => -3.24%; Day NWE: 3.09 => 9.12%; Week NWE: 3.09 => 9.12%; Month NWE: 0.16 => 95.22%)
